id,option number,category,product
1,1,Bread,White
2,2,Bread,Wheat
3,3,Bread,Rye
4,4,Bread,Wrap
5,1,Meat,Steak
6,2,Meat,Ham
7,3,Meat,Salami
8,4,Meat,Roast Beef
9,5,Meat,Chicken
10,6,Meat,Bacon
11,1,Cheese,American
12,2,Cheese,Provolone
13,3,Cheese,Cheddar
14,4,Cheese,Swiss
15,5,Cheese,Gouda
16,6,Cheese,Havarti
17,1,Regular,Lettuce
18,2,Regular,Peppers
19,3,Regular,Onions
20,4,Regular,Tomatoes
21,5,Regular,Jalapeños
22,6,Regular,Cucumbers
23,7,Regular,Pickles
24,8,Regular,Guacamole
25,9,Regular,Mushrooms
26,1,Sauce,Mayo
27,2,Sauce,Mustard
28,3,Sauce,Ketchup
29,4,Sauce,Ranch
30,5,Sauce,Thousand Islands
31,6,Sauce,Vinaigrette
32,1,Side,Au Jus
33,2,Side,Signature Sauce
34,1,Drink,Coke
35,2,Drink,Diet Coke
36,3,Drink,Cherry Coke
37,4,Drink,Sprite
38,5,Drink,Ginger Ale
39,6,Drink,Dr Pepper
40,7,Drink,Lemonade
41,1,Chips,Lays
42,2,Chips,Doritos - Nacho
43,3,Chips,Doritos - Cool Ranch
44,4,Chips,Fritos
45,5,Chips,Ruffles
46,6,Chips,BBQ
47,7,Chips,Sun Chips
48,1,Signature,BLT
48,2,Signature,Philly Cheese Steak
48,3,Signature,French Dip
